iso_code3,category_name,region,fao_area_code,world_bank_global_region
TLS,Timor-Leste,timor_leste,176,East Asia & Pacific
TGO,Togo,togo,217,Sub-Saharan Africa
TON,Tonga,tonga,219,East Asia & Pacific
TTO,Trinidad and Tobago,trinidad_and_tobago,220,Latin America & Caribbean
TUN,Tunisia,tunisia,222,Middle East & North Africa
TUR,Turkey,turkey,223,Europe & Central Asia
TKM,Turkmenistan,turkmenistan,213,Europe & Central Asia
TCA,Turks and Caicos Islands,turks_and_caicos_islands,224,Latin America & Caribbean
TUV,Tuvalu,tuvalu,227,East Asia & Pacific
UGA,Uganda,uganda,226,Sub-Saharan Africa
UKR,Ukraine,ukraine,230,Europe & Central Asia
ARE,United Arab Emirates,united_arab_emirates,225,Middle East & North Africa
GBR,United Kingdom,united_kingdom,229,Europe & Central Asia
TZA,United Republic of Tanzania,united_republic_of_tanzania,215,Sub-Saharan Africa
VIR,United States Virgin Islands,united_states_virgin_islands,240,Latin America & Caribbean
USA,United States of America,united_states_of_america,231,North America
URY,Uruguay,uruguay,234,Latin America & Caribbean
UZB,Uzbekistan,uzbekistan,235,Europe & Central Asia
VUT,Vanuatu,vanuatu,155,East Asia & Pacific
VEN,Venezuela,venezuela,236,Latin America & Caribbean
VNM,Viet Nam,viet_nam,237,East Asia & Pacific
YEM,Yemen,yemen,249,Middle East & North Africa
ZMB,Zambia,zambia,251,Sub-Saharan Africa
ZWE,Zimbabwe,zimbabwe,181,Sub-Saharan Africa
